CENTER_X,CENTER_Y,LEFT_X,LEFT_Y,RIGHT_X,RIGHT_Y
5.522627348,-67.64729267,6.668394829,-64.49932239,4.376859868,-70.79526295
6.522627348,-68.05255006,7.668394829,-64.90457979,5.376859868,-71.20052035
7.522627348,-68.45780746,8.668394829,-65.30983718,6.376859868,-71.60577774
8.522627348,-68.86306485,9.668394829,-65.71509457,7.376859868,-72.01103513
9.522627348,-69.26832224,10.66839483,-66.12035197,8.376859868,-72.41629253
10.52262735,-69.67357963,11.66839483,-66.52560936,9.376859868,-72.82154992
11.52262735,-70.07883703,12.66839483,-66.93086675,10.37685987,-73.22680731
12.52262735,-70.48409442,13.66839483,-67.33612415,11.37685987,-73.63206471
13.52262735,-70.88935181,14.66839483,-67.74138154,12.37685987,-74.0373221
14.52262735,-71.29460921,15.66839483,-68.14663893,13.37685987,-74.44257949
15.52262735,-71.6998666,16.66839483,-68.55189633,14.37685987,-74.84783689
16.52262735,-72.10512399,17.66839483,-68.95715372,15.37685987,-75.25309428
17.52262735,-72.51038139,18.66839483,-69.36241111,16.37685987,-75.65835167
18.52262735,-72.91563878,19.66839483,-69.76766851,17.37685987,-76.06360907
19.52262735,-73.32089617,20.66839483,-70.1729259,18.37685987,-76.46886646
20.17262735,-73.58431348,21.31839483,-70.4363432,19.02685987,-76.73228376
21.71184767,-74.06962779,22.57889147,-70.83377627,20.84480386,-77.3054793
23.28750871,-74.41894343,23.86923011,-71.11983746,22.70578732,-77.7180494
24.88761876,-74.62960191,25.1795905,-71.29234968,24.59564702,-77.96685415
26.5,-74.7,26.5,-71.35,26.5,-78.05
28.11238124,-74.62960191,27.8204095,-71.29234968,28.40435298,-77.96685415
29.71249129,-74.41894343,29.13076989,-71.11983746,30.29421268,-77.7180494
31.28815233,-74.06962779,30.42110853,-70.83377627,32.15519614,-77.3054793
32.82737265,-73.58431348,31.68160517,-70.4363432,33.97314013,-76.73228376
34.31843784,-72.96669406,32.90266667,-69.93056297,35.73420902,-76.00282515
35.75,-72.22146997,34.075,-69.32028487,37.425,-75.12265507
37.11116407,-71.35431282,35.18968301,-68.61015347,39.03264513,-74.09847217
38.39157078,-70.3718222,36.23823229,-67.80557331,40.54490927,-72.93807108
39.58147545,-69.28147545,37.21266773,-66.91266773,41.95028317,-71.65028317
40.6718222,-68.09157078,38.10557331,-65.93823229,43.23807108,-70.24490927
41.65431282,-66.81116407,38.91015347,-64.88968301,44.39847217,-68.73264513
42.52146997,-65.45,39.62028487,-63.775,45.42265507,-67.125
43.26669406,-64.01843784,40.23056297,-62.60266667,46.30282515,-65.43420902
43.88431348,-62.52737265,40.7363432,-61.38160517,47.03228376,-63.67314013
44.36962779,-60.98815233,41.13377627,-60.12110853,47.6054793,-61.85519614
44.71894343,-59.41249129,41.41983746,-58.83076989,48.0180494,-59.99421268
44.92960191,-57.81238124,41.59234968,-57.5204095,48.26685415,-58.10435298
45,-56.2,41.65,-56.2,48.35,-56.2
45,-55.2,41.65,-55.2,48.35,-55.2
45,-54.2,41.65,-54.2,48.35,-54.2
45,-53.2,41.65,-53.2,48.35,-53.2
45,-52.2,41.65,-52.2,48.35,-52.2
45,-51.2,41.65,-51.2,48.35,-51.2
45,-50.2,41.65,-50.2,48.35,-50.2
45,-49.2,41.65,-49.2,48.35,-49.2
45,-48.2,41.65,-48.2,48.35,-48.2
45,-47.2,41.65,-47.2,48.35,-47.2
45,-46.2,41.65,-46.2,48.35,-46.2
45,-45.2,41.65,-45.2,48.35,-45.2
45,-44.2,41.65,-44.2,48.35,-44.2
45,-43.2,41.65,-43.2,48.35,-43.2
45,-42.2,41.65,-42.2,48.35,-42.2
45,-41.2,41.65,-41.2,48.35,-41.2
45,-40.2,41.65,-40.2,48.35,-40.2
45,-39.2,41.65,-39.2,48.35,-39.2
45,-38.2,41.65,-38.2,48.35,-38.2
45,-37.2,41.65,-37.2,48.35,-37.2
45,-36.2,41.65,-36.2,48.35,-36.2
45,-35.2,41.65,-35.2,48.35,-35.2
45,-34.2,41.65,-34.2,48.35,-34.2
45,-33.2,41.65,-33.2,48.35,-33.2
45,-32.2,41.65,-32.2,48.35,-32.2
45,-31.2,41.65,-31.2,48.35,-31.2
45,-30.2,41.65,-30.2,48.35,-30.2
45,-29.2,41.65,-29.2,48.35,-29.2
45,-28.2,41.65,-28.2,48.35,-28.2
45,-27.2,41.65,-27.2,48.35,-27.2
45,-26.2,41.65,-26.2,48.35,-26.2
45,-25.2,41.65,-25.2,48.35,-25.2
45,-24.2,41.65,-24.2,48.35,-24.2
45,-23.2,41.65,-23.2,48.35,-23.2
45,-22.2,41.65,-22.2,48.35,-22.2
45,-21.2,41.65,-21.2,48.35,-21.2
45,-20.2,41.65,-20.2,48.35,-20.2
45,-19.2,41.65,-19.2,48.35,-19.2
